measure	score	type
1 - WER	0.098016	scrambled_baseline
rouge1	1.0	scrambled_baseline
rouge2	0.0939	scrambled_baseline
rougeL	0.346066	scrambled_baseline
rougeLsum	0.346108	scrambled_baseline
sacreBLEU / 100	0.05254578	scrambled_baseline
1 - WER	0.1916770808588868	25000_model
rouge1	0.6079977990874641	25000_model
rouge2	0.26719469962553277	25000_model
rougeL	0.38260469741905406	25000_model
rougeLsum	0.3827838050293582	25000_model
sacreBLEU / 100	0.13736656625824894	25000_model
1 - WER	0.2443823609404102	50000_model
rouge1	0.6962898546331743	50000_model
rouge2	0.33396057831792225	50000_model
rougeL	0.4479650397553958	50000_model
rougeLsum	0.44806933117985215	50000_model
sacreBLEU / 100	0.18085157495558978	50000_model
1 - WER	0.2692929365956436	75000_model
rouge1	0.7384295556535034	75000_model
rouge2	0.36811800725889315	75000_model
rougeL	0.4783427234185955	75000_model
rougeLsum	0.4784026598802267	75000_model
sacreBLEU / 100	0.21136117563836148	75000_model